Date,Close
10/14/2019,120.1
10/15/2019,121.11
10/16/2019,121.09
10/17/2019,120.57
10/18/2019,121.05
10/21/2019,123
10/22/2019,122.05
10/23/2019,123.49
10/24/2019,124.3
10/25/2019,126.18
10/28/2019,126.6
10/29/2019,126.53
10/30/2019,126.44
10/31/2019,126.55
11/1/2019,128.08
11/4/2019,130.16
11/5/2019,133.69
11/6/2019,132.58
11/7/2019,133.06
11/8/2019,133.2
11/11/2019,131.75
11/12/2019,132.53
11/13/2019,133.65
11/14/2019,134.55
11/15/2019,135.52
11/18/2019,135.68
11/19/2019,135.47
11/20/2019,132.71
11/21/2019,132.98
11/22/2019,136.25
11/25/2019,137.98
11/26/2019,140.08
11/27/2019,141.34
11/29/2019,140.36
12/2/2019,140.43
12/3/2019,138.56
12/4/2019,139.26
12/5/2019,140.3
12/6/2019,142.29
12/9/2019,141.35
12/10/2019,140.57
12/11/2019,142.75
12/12/2019,145.1
12/13/2019,146.16
12/16/2019,147.9
12/17/2019,148.91
12/18/2019,149.55
12/19/2019,150.04
12/20/2019,150.8
12/23/2019,151.24
12/24/2019,151.5
12/26/2019,153.13
12/27/2019,152.73
12/30/2019,151.87
12/31/2019,151.43
1/2/2020,151.49
1/3/2020,149.27
1/6/2020,147.34
1/7/2020,144.94
1/8/2020,146.73
1/9/2020,146.45
1/10/2020,145.39
1/13/2020,146.8
1/14/2020,147.15
1/15/2020,147.3
1/16/2020,149.02
1/17/2020,150.26
1/21/2020,144.37
1/22/2020,144.12
1/23/2020,144.96
1/24/2020,141.02
1/27/2020,138
1/28/2020,141.25
1/29/2020,142.61
1/30/2020,143.31
1/31/2020,140.06
2/3/2020,141.48
2/4/2020,147.4
2/5/2020,147.71
2/6/2020,146.22
2/7/2020,144.07
2/10/2020,145.73
2/11/2020,147.19
2/12/2020,150.78
2/13/2020,146.72
2/14/2020,144.9
2/18/2020,144.94
2/19/2020,147.63
2/20/2020,146.84
2/21/2020,143.24
2/24/2020,134.83
2/25/2020,124.08
2/26/2020,120.19
2/27/2020,119.64
2/28/2020,124
3/2/2020,122.96
3/3/2020,114.28
3/4/2020,118.33
3/5/2020,110.22
3/6/2020,110.66
3/9/2020,104.19
3/10/2020,109.98
3/11/2020,100.11
3/12/2020,93.71
3/13/2020,95.61
3/16/2020,86.42
3/17/2020,75.24
3/18/2020,63.81
3/19/2020,66.8
3/20/2020,74.58
3/23/2020,70.13
3/24/2020,79.14
3/25/2020,85.25
3/26/2020,82.81
3/27/2020,78.85
3/30/2020,76.16
3/31/2020,74.81
4/1/2020,69.15
4/2/2020,63
4/3/2020,59.08
4/6/2020,70.59
4/7/2020,73.82
4/8/2020,82.53
4/9/2020,81.31
4/13/2020,78.09
4/14/2020,82.68
4/15/2020,80.73
4/16/2020,80.39
4/17/2020,84.26
4/20/2020,79.77
4/21/2020,79.9
4/22/2020,80.02
4/23/2020,81.1
4/24/2020,80.71
4/27/2020,85.27
4/28/2020,87.42
4/29/2020,95.99
4/30/2020,90.94
5/1/2020,84.75
5/4/2020,82.58
5/5/2020,83.66
5/6/2020,81.11
5/7/2020,85.98
5/8/2020,87.17
5/11/2020,82.31
5/12/2020,79.33
5/13/2020,75.26
5/14/2020,79.25
5/15/2020,79.76
5/18/2020,93.62
5/19/2020,90.67
5/20/2020,92.68
5/21/2020,91.35
5/22/2020,91.05
5/26/2020,94.92
5/27/2020,97.96
5/28/2020,91.64
5/29/2020,88.5
6/1/2020,95.03
6/2/2020,95.61
6/3/2020,99.9
6/4/2020,104.82
6/5/2020,107.96
6/8/2020,113.14
6/9/2020,107.32
6/10/2020,102.62
6/11/2020,91.44
6/12/2020,92.26
6/15/2020,90.79
6/16/2020,93.99
6/17/2020,91.13
6/18/2020,92.75
6/19/2020,89.68
6/22/2020,90.18
6/23/2020,90.62
6/24/2020,85
6/25/2020,84.04
6/26/2020,80.94
6/29/2020,86.6
6/30/2020,85.73
7/1/2020,86.62
7/2/2020,87.8
7/6/2020,89.83
7/7/2020,87.43
7/8/2020,89.99
7/9/2020,86.25
7/10/2020,88.51
7/13/2020,87.5
7/14/2020,87.12
7/15/2020,94.03
7/16/2020,93.11
7/17/2020,91.48
7/20/2020,88.48
7/21/2020,89.96
7/22/2020,90.81
7/23/2020,88.97
7/24/2020,87.5
7/27/2020,86.27
7/28/2020,86.55
7/29/2020,87.14
7/30/2020,85.51
7/31/2020,83.83
8/3/2020,83.52
8/4/2020,86.1
8/5/2020,87.27
8/6/2020,90.39
8/7/2020,93.78
8/10/2020,97.13
8/11/2020,97.01
8/12/2020,96.03
8/13/2020,96.5
8/14/2020,96.01
8/17/2020,95.72
8/18/2020,94.44
8/19/2020,94
8/20/2020,94.02
8/21/2020,95.27
8/24/2020,97.89
8/25/2020,98.77
8/26/2020,97.38
8/27/2020,101.79
8/28/2020,106.26
8/31/2020,102.91
9/1/2020,103.09
9/2/2020,104.39
9/3/2020,103.09
9/4/2020,104.82
9/8/2020,103.98
9/9/2020,102.01
9/10/2020,100.38
9/11/2020,99.26
9/14/2020,104.68
9/15/2020,105.39
9/16/2020,107.76
9/17/2020,104.41
9/18/2020,99.88
9/21/2020,93.02
9/22/2020,95.5
9/23/2020,92.94
9/24/2020,91.35
9/25/2020,92.99
9/28/2020,96
9/29/2020,93.22
9/30/2020,92.58
10/1/2020,94.35
10/2/2020,95.25
10/5/2020,96.78
10/6/2020,96.92
10/7/2020,99.01
10/8/2020,100.31
10/9/2020,99.34
10/12/2020,100.71
10/13/2020,98.24
10/14/2020,97.07
10/15/2020,97.07
10/16/2020,97.76
10/19/2020,93.94
