Date,Close
10/14/2019,91.53
10/15/2019,91.66
10/16/2019,92.2
10/17/2019,92.2
10/18/2019,91.15
10/21/2019,92.39
10/22/2019,90.73
10/23/2019,95.77
10/24/2019,96.91
10/25/2019,97.69
10/28/2019,97.19
10/29/2019,97.31
10/30/2019,97.32
10/31/2019,96.96
11/1/2019,96.31
11/4/2019,97.99
11/5/2019,100.15
11/6/2019,99.57
11/7/2019,98.93
11/8/2019,99.09
11/11/2019,98.13
11/12/2019,98.09
11/13/2019,97.76
11/14/2019,98.85
11/15/2019,99.69
11/18/2019,100.17
11/19/2019,100.21
11/20/2019,99.26
11/21/2019,99.08
11/22/2019,101.22
11/25/2019,103.09
11/26/2019,105.32
11/27/2019,106.37
11/29/2019,105
12/2/2019,104.75
12/3/2019,103.95
12/4/2019,104.18
12/5/2019,104.91
12/6/2019,105.47
12/9/2019,104.75
12/10/2019,104.7
12/11/2019,105.7
12/12/2019,106.52
12/13/2019,107.2
12/16/2019,108.48
12/17/2019,108.8
12/18/2019,109.25
12/19/2019,110.34
12/20/2019,111.42
12/23/2019,111.28
12/24/2019,111.37
12/26/2019,111.94
12/27/2019,112.39
12/30/2019,111.37
12/31/2019,110.91
1/2/2020,111.45
1/3/2020,109.99
1/6/2020,109.42
1/7/2020,108.29
1/8/2020,109.21
1/9/2020,109.09
1/10/2020,108.6
1/13/2020,109.29
1/14/2020,109.09
1/15/2020,109.63
1/16/2020,111.6
1/17/2020,113.92
1/21/2020,110.62
1/22/2020,110.85
1/23/2020,110.96
1/24/2020,108.49
1/27/2020,104.94
1/28/2020,107.86
1/29/2020,110.01
1/30/2020,109.07
1/31/2020,107.8
2/3/2020,107.85
2/4/2020,110.94
2/5/2020,113.26
2/6/2020,112.7
2/7/2020,110.84
2/10/2020,111.37
2/11/2020,112.94
2/12/2020,113.7
2/13/2020,112.96
2/14/2020,113.23
2/18/2020,111.93
2/19/2020,112.67
2/20/2020,112
2/21/2020,109.57
2/24/2020,104.02
2/25/2020,98.88
2/26/2020,97.9
2/27/2020,95.83
2/28/2020,97.2
3/2/2020,96.46
3/3/2020,93.33
3/4/2020,98.39
3/5/2020,91.5
3/6/2020,90.45
3/9/2020,86.18
3/10/2020,90.32
3/11/2020,81.09
3/12/2020,76.72
3/13/2020,78.63
3/16/2020,69.54
3/17/2020,64.83
3/18/2020,56.68
3/19/2020,58.03
3/20/2020,61.6
3/23/2020,63.33
3/24/2020,69.39
3/25/2020,72.25
3/26/2020,73.2
3/27/2020,69.15
3/30/2020,68.68
3/31/2020,68.24
4/1/2020,63.04
4/2/2020,57.86
4/3/2020,55.94
4/6/2020,63.8
4/7/2020,65.83
4/8/2020,70.09
4/9/2020,68.45
4/13/2020,66.64
4/14/2020,70.01
4/15/2020,69.87
4/16/2020,70.15
4/17/2020,75.62
4/20/2020,72.28
4/21/2020,71.35
4/22/2020,70.79
4/23/2020,71.94
4/24/2020,71.37
4/27/2020,75.19
4/28/2020,75.75
4/29/2020,79.28
4/30/2020,75.71
5/1/2020,72.03
5/4/2020,71.41
5/5/2020,71.74
5/6/2020,70.79
5/7/2020,71.9
5/8/2020,72.19
5/11/2020,68.3
5/12/2020,67
5/13/2020,64.85
5/14/2020,68.17
5/15/2020,68.54
5/18/2020,73.07
5/19/2020,75.29
5/20/2020,77.72
5/21/2020,77.66
5/22/2020,78.39
5/26/2020,81.69
5/27/2020,83.15
5/28/2020,80.62
5/29/2020,79.31
6/1/2020,81.91
6/2/2020,83.6
6/3/2020,86.11
6/4/2020,86.34
6/5/2020,87.2
6/8/2020,89.7
6/9/2020,86.13
6/10/2020,82.83
6/11/2020,77.59
6/12/2020,77.45
6/15/2020,77.48
6/16/2020,78.25
6/17/2020,76.42
6/18/2020,78.16
6/19/2020,76.17
6/22/2020,76.08
6/23/2020,75.68
6/24/2020,73.19
6/25/2020,72.51
6/26/2020,71.16
6/29/2020,73.92
6/30/2020,73.45
7/1/2020,74.44
7/2/2020,74.52
7/6/2020,76.24
7/7/2020,74.17
7/8/2020,75.09
7/9/2020,74.13
7/10/2020,75.24
7/13/2020,73.58
7/14/2020,73.51
7/15/2020,80.92
7/16/2020,80.89
7/17/2020,79.9
7/20/2020,78.17
7/21/2020,80.12
7/22/2020,79.62
7/23/2020,78.86
7/24/2020,77.43
7/27/2020,77.34
7/28/2020,76.67
7/29/2020,77.39
7/30/2020,76.14
7/31/2020,75.05
8/3/2020,74.74
8/4/2020,78.32
8/5/2020,80
8/6/2020,82.7
8/7/2020,83.7
8/10/2020,86.2
8/11/2020,87.02
8/12/2020,85.89
8/13/2020,85.5
8/14/2020,86
8/17/2020,84.98
8/18/2020,84.07
8/19/2020,84.49
8/20/2020,85.1
8/21/2020,87.35
8/24/2020,88.4
8/25/2020,88.44
8/26/2020,86.8
8/27/2020,88.8
8/28/2020,91.73
8/31/2020,90.36
9/1/2020,91.71
9/2/2020,91.34
9/3/2020,91.3
9/4/2020,90.94
9/8/2020,91.9
9/9/2020,90.39
9/10/2020,89.36
9/11/2020,87.37
9/14/2020,92.31
9/15/2020,91.94
9/16/2020,94.03
9/17/2020,91.17
9/18/2020,89.64
9/21/2020,85.48
9/22/2020,85.24
9/23/2020,83.86
9/24/2020,83.07
9/25/2020,85.93
9/28/2020,89.06
9/29/2020,86.6
9/30/2020,85.32
10/1/2020,87.22
10/2/2020,87.96
10/5/2020,89.3
10/6/2020,89.6
10/7/2020,91.72
10/8/2020,92.54
10/9/2020,91.37
10/12/2020,91.35
10/13/2020,88.64
10/14/2020,88.3
10/15/2020,88.68
10/16/2020,89.5
10/19/2020,87.55
